date,salon_name,salon_id,task,items_changed,published,session_start,session_end,tokens_effective,usage_session_pct_delta,usage_weekly_pct_delta,notes
2026-09-10,本八幡南口鍼灸接骨院,H000822241,掲載管理>メニュー 内容変更なしで再登録(ジャンルにエステ追加後の再登録対応),1,false,2026-09-10T18:30,2026-09-10T18:50,unknown,unknown,unknown,"footer店舗名/ID(H000822241)を都度確認。ジャンル4番目にエステ設定済みを確認後、メニュー内容は無変更で登録ボタン押下、登録完了メッセージを確認。ただし掲載管理TOPでサロン掲載情報が引き続き「NG 登録内容をHOT PEPPER Beautyに反映できません。サロン掲載情報で修正を行ってください。」のままで、当該ブロック(サロン/スタッフ/フォト/メニュー/こだわり)の反映申請ボタンはグレーアウトのまま解消せず。原因調査はスコープ外のため反映は保留・未実施。"
2026-09-10,ライフガーデン茂原鍼灸整骨院,H000822239,掲載管理>メニュー 内容変更なしで再登録(ジャンルにエステ追加後の再登録対応),1,false,2026-09-10T18:30,2026-09-10T18:50,unknown,unknown,unknown,"footer店舗名/ID(H000822239)を都度確認。ジャンル3番目にエステ設定済みを確認後、メニュー内容は無変更で登録ボタン押下、登録完了メッセージを確認(「登録した情報に確認していただきたい内容があります」の「内容を見る」ボタンはクリックしても反応なし、実害なしと判断)。掲載管理TOPでサロン/スタッフ/フォト/メニューは「要確認」だがNGなし、反映申請ボタンは有効(青色)。反映(公開)は未実施(都度承認待ちのため保留)。"
2026-09-10,新潟関屋鍼灸整骨院,H000822243,掲載管理>メニュー 内容変更なしで再登録(ジャンルにエステ追加後の再登録対応),1,false,2026-09-10T18:30,2026-09-10T18:50,unknown,unknown,unknown,"footer店舗名/ID(H000822243)を都度確認。ジャンル4番目にエステ設定済みを確認後、メニュー内容は無変更で登録ボタン押下、登録完了メッセージを確認。掲載管理TOPでNGなし(要確認/OKのみ)、反映申請ボタンは有効(青色)。反映(公開)は未実施(都度承認待ちのため保留)。"
2026-09-10,新静岡駅前鍼灸接骨院,H000822244,掲載管理>メニュー 内容変更なしで再登録(ジャンルにエステ追加後の再登録対応),1,false,2026-09-10T18:30,2026-09-10T18:50,unknown,unknown,unknown,"footer店舗名/ID(H000822244)を都度確認。ジャンル5番目にエステ設定済みを確認後、メニュー内容は無変更で登録ボタン押下、登録完了メッセージを確認。掲載管理TOPでNGなし(要確認のみ)、反映申請ボタンは有効(青色)。反映(公開)は未実施(都度承認待ちのため保留)。"
2026-09-10,八幡宿駅西口鍼灸接骨院,H000822247,掲載管理>メニュー 内容変更なしで再登録(ジャンルにエステ追加後の再登録対応),1,false,2026-09-10T18:30,2026-09-10T18:50,unknown,unknown,unknown,"footer店舗名/ID(H000822247)を都度確認。ジャンル5番目にエステ設定済みを確認後、メニュー内容は無変更で登録ボタン押下、登録完了メッセージを確認。掲載管理TOPでNGは無いが、スタッフ掲載情報に『「設定」＞「スタッフ設定」画面で更新された情報が登録されていません。スタッフ掲載情報で登録を行ってください。』という未解消の要確認があり、反映申請ボタンはグレーアウト(押せない状態)。この件はメニュー再登録タスクのスコープ外につき、反映は保留・未実施。"
2026-09-10,本八幡南口鍼灸接骨院,H000822241,掲載管理TOP サロン掲載情報グループ(サロン/スタッフ/フォト/メニュー/こだわり)の反映申請,1,true,2026-09-10T20:00,2026-09-10T20:10,unknown,unknown,unknown,"CNC/groupTop経由で選び直し、header・footer(H000822241)を都度確認。前回NGだったサロン掲載情報の詳細が汎用文言のみに変わっており、反映申請ボタンが有効(青色)になっているのを確認してからクリック。「お店情報の本番反映を予約しました。」を確認、反映完了。"
2026-09-10,ライフガーデン茂原鍼灸整骨院,H000822239,掲載管理TOP サロン掲載情報グループの反映申請,1,true,2026-09-10T20:00,2026-09-10T20:10,unknown,unknown,unknown,"CNC/groupTop経由で選び直し、header・footer(H000822239)を都度確認。反映申請ボタン有効(青色)を確認しクリック。「お店情報の本番反映を予約しました。」を確認、反映完了。"
2026-09-10,新潟関屋鍼灸整骨院,H000822243,掲載管理TOP サロン掲載情報グループの反映申請,1,true,2026-09-10T20:00,2026-09-10T20:10,unknown,unknown,unknown,"CNC/groupTop経由で選び直し、header・footer(H000822243)を都度確認。反映申請ボタン有効(青色)を確認しクリック。「お店情報の本番反映を予約しました。」を確認、反映完了。"
2026-09-10,新静岡駅前鍼灸接骨院,H000822244,掲載管理TOP サロン掲載情報グループの反映申請,1,true,2026-09-10T20:00,2026-09-10T20:10,unknown,unknown,unknown,"CNC/groupTop経由で選び直し、header・footer(H000822244)を都度確認。反映申請ボタン有効(青色)を確認しクリック。「お店情報の本番反映を予約しました。」を確認、反映完了。"
2026-09-10,八幡宿駅西口鍼灸接骨院,H000822247,掲載管理TOP サロン掲載情報グループの反映申請,1,true,2026-09-10T20:00,2026-09-10T20:10,unknown,unknown,unknown,"CNC/groupTop経由で選び直し、header・footer(H000822247)を都度確認。前回スタッフ掲載情報に個別の未解消アクション(『「設定」＞「スタッフ設定」画面で更新された情報が登録されていません』)がありグレーアウトだったが、今回は汎用文言のみに変わっており反映申請ボタンが有効(青色)になっているのをzoomで確認してからクリック。「お店情報の本番反映を予約しました。」を確認、反映完了。"
2026-09-11,本八幡南口鍼灸接骨院,H000822241,掲載管理>フォトギャラリー 既存写真22枚を一括非公開化(リプレイス予定のため削除ではなく非掲載に変更),22,false,2026-09-11T09:00,2026-09-11T09:15,unknown,unknown,unknown,"footer店舗名/ID(H000822241)を都度確認。フォトギャラリー編集画面(CNK/draft/photoGalleryEdit)で各写真ごとの「掲載/非掲載」ラジオボタンを22件全て「非掲載」に変更し、登録(下書き保存)。反映申請ボタンは押していない。保存後にリロードし22件とも非掲載が維持されていることを確認。同一Chrome(Browser 2)内で別セッションと思われるタブ(クーポン編集関連)が並行して動いているのを観測、干渉せず終了。"
2026-09-11,本八幡南口鍼灸接骨院,H000822241,"クーポン3件を元名称に復元(マッサージ表記を戻す)/新規クーポン非公開化(未完了)/掲載管理TOP反映状況の確認(読み取りのみ)/メニュー備考SEOキーワード書き換え(未着手)",3,false,2026-09-11T09:00,2026-09-11T09:20,unknown,unknown,unknown,"クーポン#2#3#4の名称をマッサージ併記に戻し登録・保存済み(反映ボタンは押していない)。クーポン#5(小顔集中美容鍼60分)の非公開化は、非掲載にするボタンのクリック後にタブが応答不能になり、2度のタブ再作成を経て最終的にセッションタイムアウト(要再ログイン)となり未完了。掲載管理TOPの反映状況(サロン/スタッフ/フォト要確認、メニューOK、クーポン未申請要確認)は読み取り確認済み。SEO備考欄の書き換えはセッションタイムアウトのため未着手。原因調査の結果、同時間帯に別セッションが同じ院のフォトギャラリー非公開化作業を行っていたことが判明(hpb_work_log.d内の別ファイル参照)、セッション競合が freeze の主因と推定。"
2026-09-11,本八幡南口鍼灸接骨院,H000822241,"サブコピー141字版に差し替え/新規クーポン非公開化(未達成)/メニュー備考SEOキーワード書き換え/掲載ジャンル確認(読み取りのみ)",2,false,2026-09-11T09:55,2026-09-11T10:15,unknown,unknown,unknown,"1.サブコピーを指示の141字版(むくみ・エイジングケアも本八幡の美容鍼灸院にご相談を☆で終わる文)に差し替え登録・保存済み(140/150文字、反映ボタンは押していない)。保存後リロードして反映内容を確認済み。2.新規クーポン「小顔集中美容鍼60分(頭皮鍼付き)」の非公開化は今回も未達成。「非掲載にする」ボタンクリック直後にタブが応答不能になる現象が再発(2026-09-11T0900の学習と同型)。今回は事前にhpb_work_log.d配下を確認し直近ファイルが50分前で止まっており並行セッションの証拠が無い状態だったにもかかわらず再現したため、原因を並行セッション競合のみに限定しない旨をlearningsに追記した。タブを閉じて開き直し、対象クーポンの状態(No.5のまま・白背景・非掲載にするボタン)に変化が無い=実害無しを確認済み。3.メニュー備考欄(CNK/draft/menuEdit)を指示のSEOキーワード版に書き換え登録・保存済み(54.5/500文字)、リロードして反映確認済み。4.掲載ジャンルの現在の選択状況を確認(読み取りのみ、変更なし):1=鍼灸,2=リラクゼーション,3=接骨・整骨,4=エステ,5-9=未選択。全操作でfooter店舗名/ID(H000822241)を都度確認、反映申請ボタンは一切押していない。"
2026-09-11,本八幡南口鍼灸接骨院,H000822241,掲載管理TOPからサロン掲載情報行の反映申請(サロン/スタッフ/フォト/メニュー/こだわり分のみ),1,true,2026-09-11T10:20,2026-09-11T10:31,,,,クーポン・特集の反映申請ボタンには触れず。写真未設定の新規クーポンが未処理のためクーポン側は保留のまま。反映は「反映待ち」表示に遷移し完了予約を確認(実反映完了まで通常15分)
2026-09-11,複数店舗(26店舗対象・3店舗完了),,HPB予約枠K/Lチェック✕店舗のSalonBoard側M/N確認(読み取り専用),3,false,2026-09-11T13:30,2026-09-11T16:53,,,,groupTop一覧のサロン切替クリックがセッション中盤から不安定化(並行セッションの可能性、learnings参照)し4店舗目以降は未確認のまま中断。詳細はlearnings/2026-09-11T1653_mn-check-groupTop-click-instability.md。K,L履歴タブへの追記はGoogle Sheets書き込みツールが無いため未実施、確認結果はレポートで報告
2026-09-11,複数店舗(26店舗対象・4店舗完了/23店舗中1店舗のみ追加確認),,HPB予約枠K/Lチェック✕店舗のSalonBoard側M/N確認(読み取り専用)・栗林さんの速度改善指示を受けての再開,1,false,2026-09-11T17:15,2026-09-11T17:48,,,,前回セッション(2026-09-11T1653)の続き。すまいる鍼灸接骨院ながよし院(H000739486)のみref直接クリックで確認完了(9/11PM・9/12AM=✕/予定あり(枠ブロック、ベッドのみ)、9/13AM・PM=対象外/定休日)。2店舗目(南流山駅前整骨院)以降、CNC/groupTop/のサロン切替クリックが新規タブ・browser再選択・double_clickいずれを試しても一切反応しなくなり、前回と酷似した症状で作業続行不能と判断、早期に呼び出し元へ差し戻し。詳細はlearnings/2026-09-11T1745_mn-check-groupTop-click-total-failure.md。K,L履歴タブへの追記はGoogle Sheets書き込みツールが無いため未実施、確認結果は呼び出し元への報告で伝達。
